"title","Street Tree Planting"
"copyright","Copyright (c) 2022 NYC Department of Parks and Recreation"
"link","http://nyc.gov/parks/treework"
"description","NYC Department of Parks and Recreation"
"language","en-us"
"lastBuildDate","2022-08-15 00:49:46"
"note","The raw data contained here may be displayed differently than what appears on the Tree Work Hub reports at nyc.gov/parks/treework, due to post-processing of the data to make it readable for the web (e.g. updated addresses, entries not displayed due to missing addresses, reformatted dates, etc.)."
"lng","lat","Borough","ZipCode","BuildingNumber","StreetName","FiscalYear","PlantingSpaceID","CommunityBoard","PlantingSeason","CityCouncil","TreeID","WOId","WOStatus","CompletedDate"
" -73.96363972","40.79555489","Manhattan","10025","20","MANHATTAN AVENUE","0","1600207","107","05/31/2022","7","1426442","18040816","Not Completed",""
" -73.95076341","40.81288543","Manhattan","10027","366","ST NICHOLAS AVENUE","0","1597486","110","05/31/2022","9","0","16789469","Not Completed",""
" -73.94872901","40.79774131","Manhattan","10026","1330","5 AVENUE","0","1600565","110","05/31/2022","9","0","7436886","Not Completed",""
" -73.95096036","40.81268612","Manhattan","10027","360","ST NICHOLAS AVENUE","0","1597488","110","05/31/2022","9","1423723","16805280","Not Completed",""
" -73.96667572","40.80341910","Manhattan","10025","259","WEST 109 STREET","0","1597573","107","05/31/2022","7","0","17990390","Not Completed",""
" -73.94876429","40.79769341","Manhattan","10026","1330","5 AVENUE","0","1600564","110","05/31/2022","9","0","7432090","Not Completed",""
" -73.96692791","40.79857887","Manhattan","10025","891","AMSTERDAM AVENUE","0","1602302","107","05/31/2022","7","1428537","18276832","Not Completed",""
" -74.00360422","40.74918362","Manhattan","10001","501","WEST  25 STREET","0","1602605","104","05/31/2022","3","1428840","10517729","Not Completed",""
" -74.00318892","40.74923778","Manhattan","10001","259","10 AVENUE","0","1602614","104","05/31/2022","3","1428849","10517728","Not Completed",""
" -73.97547872","40.78881558","Manhattan","10024","207","WEST  87 STREET","0","1603266","107","05/31/2022","6","1429501","13905518","Not Completed",""
" -73.96269698","40.79657957","Manhattan","10025","18","WEST 103 STREET","0","1603487","107","05/31/2022","7","1429722","18040811","Not Completed",""
" -73.99426665","40.74836149","Manhattan","10001","230","WEST  29 STREET","0","1607604","105","05/31/2022","3","1433839","16432928","Not Completed",""
" -73.90758333","40.70399553","Queens","11385","676","ONDERDONK AVENUE","0","1607882","405","05/31/2022","34","1434117","10254434","Completed","2022-06-15 00:00:00"
" -73.99332043","40.75386238","Manhattan","10018","315","WEST  36 STREET","0","1607125","104","05/31/2022","3","1433360","7307265","Not Completed",""
" -73.90806263","40.70367736","Queens","11385","1815","GATES AVENUE","0","1607941","405","05/31/2022","34","6466071","10254417","Completed","2022-05-27 00:00:00"
" -73.96577399","40.64052617","Brooklyn","11226","1312","CORTELYOU ROAD","0","1614585","314","05/31/2022","40","1440820","16178050","Not Completed",""
" -73.96586062","40.64048678","Brooklyn","11226","1310","CORTELYOU ROAD","0","1614586","314","05/31/2022","40","1440821","16178049","Not Completed",""
" -73.96567746","40.64057006","Brooklyn","11226","1316","CORTELYOU ROAD","0","1614584","314","05/31/2022","40","1440819","16179697","Not Completed",""
" -73.98333439","40.77018231","Manhattan","10023","30","WEST  61 STREET","0","1616346","107","05/31/2022","3","0","16186521","Not Completed",""
" -74.00434480","40.72432596","Manhattan","10013","124","AVENUE OF THE AMERICAS","0","1610538","102","05/31/2022","3","0","13688810","Not Completed",""
" -73.96469640","40.64100676","Brooklyn","11226","1416","CORTELYOU ROAD","0","1614496","314","05/31/2022","40","0","16051892","Not Completed",""
